0,1,2,3,4,5
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
LYB INT FINANCE III,3.63,4/1/2051,"2,550,000","1,697,710","1,752,462"
LYB INT FINANCE III,4.20,5/1/2050,"347,000","253,756","263,789"
LYB INT FINANCE III,4.20,10/15/2049,"260,000","190,530","199,454"
LYB INT FINANCE III,3.38,10/1/2040,"1,200,000","864,431","877,260"
LYB INTL FINANCE BV,4.88,3/15/2044,"69,000","57,531","59,990"
LYB INTL FINANCE BV,5.25,7/15/2043,"257,000","225,145","233,166"
LYONDELLBASELL IND NV,4.63,2/26/2055,"1,000,000","772,398","811,170"
MACQUARIE AIRFINANCE HLD,8.13,3/30/2029,"175,000","175,000","185,189"
MACY S RETAIL HLDGS LLC,4.50,12/15/2034,"6,000","4,349","5,185"
MACY S RETAIL HLDGS LLC,6.13,3/15/2032,"970,000","891,282","926,515"
MACY S RETAIL HLDGS LLC,5.88,3/15/2030,"751,000","656,731","718,820"
MACY S RETAIL HLDGS LLC,5.88,4/1/2029,"1,883,000","1,784,693","1,824,627"
MADISON IAQ LLC,4.13,6/30/2028,"389,000","350,694","362,871"
MAF GLOBAL SECURITIES,1.00,12/31/2099,"800,000","774,421","788,914"
MARATHON OIL CORP,5.20,6/1/2045,"65,000","53,083","59,784"
MARATHON OIL CORP,6.60,10/1/2037,"236,000","233,764","255,633"
MARATHON PETROLEUM CORP,5.00,9/15/2054,"2,000,000","1,608,731","1,691,780"
MARATHON PETROLEUM CORP,4.75,9/15/2044,"1,600,000","1,316,539","1,364,176"
MARATHON PETROLEUM CORP,6.50,3/1/2041,"304,000","305,562","316,266"
MARKEL GROUP INC,6.00,5/16/2054,"880,000","876,854","871,174"
MARKEL GROUP INC,5.00,4/5/2046,"1,350,000","1,159,728","1,192,712"
MARRIOTT INTERNATIONAL,5.30,5/15/2034,"105,000","103,680","103,048"
MARSH + MCLENNAN COS INC,5.45,3/15/2054,"164,000","162,054","159,352"
MARSH + MCLENNAN COS INC,5.45,3/15/2053,"1,979,000","1,905,307","1,925,151"
MARSH + MCLENNAN COS INC,6.25,11/1/2052,"600,000","638,558","649,476"
MARSH + MCLENNAN COS INC,2.90,12/15/2051,"192,000","122,679","119,712"
MARSH + MCLENNAN COS INC,4.90,3/15/2049,"1,400,000","1,256,184","1,254,554"
MARSH + MCLENNAN COS INC,4.20,3/1/2048,"117,000","95,306","95,071"
MARSH + MCLENNAN COS INC,4.35,1/30/2047,"1,600,000","1,331,015","1,351,552"
MARSH + MCLENNAN COS INC,4.75,3/15/2039,"1,555,000","1,394,497","1,446,243"
MARTIN MARIETTA MATERIAL,3.20,7/15/2051,"400,000","265,042","266,276"
MARTIN MARIETTA MATERIAL,4.25,12/15/2047,"758,000","605,280","615,913"
MASS GENERAL BRIGHAM INC,3.19,7/1/2049,"173,000","120,617","121,046"
MASS INSTITUTE OF TECH,3.89,7/1/2116,"60,000","43,615","44,174"
MASS INSTITUTE OF TECH,4.68,12/31/2099,"39,000","34,072","34,556"
MASS INSTITUTE OF TECH,5.60,12/31/2099,"74,000","76,870","78,224"
MASS INSTITUTE OF TECH,3.07,4/1/2052,"347,000","246,395","246,491"
MASS INSTITUTE OF TECH,2.29,7/1/2051,"111,000","66,829","66,603"
MASS INSTITUTE OF TECH,2.99,7/1/2050,"230,000","162,609","161,478"
MASS INSTITUTE OF TECH,3.96,7/1/2038,"18,000","16,024","16,410"
MASTERCARD INC,2.95,3/15/2051,"3,400,000","2,339,745","2,249,576"
MASTERCARD INC,3.65,6/1/2049,"1,360,000","1,033,859","1,038,646"
MASTERCARD INC,3.95,2/26/2048,"126,000","104,871","102,073"
MASTERCARD INC,3.80,11/21/2046,"57,000","46,357","45,268"
MATADOR RESOURCES CO,6.50,4/15/2032,"3,670,000","3,679,011","3,672,569"
MATADOR RESOURCES CO,6.88,4/15/2028,"1,141,000","1,139,489","1,158,708"
MATCH GROUP HLD II LLC,3.63,10/1/2031,"729,000","609,528","617,565"
MATCH GROUP HLD II LLC,4.63,6/1/2028,"101,000","94,356","94,644"
MATTAMY GROUP CORP,4.63,3/1/2030,"421,000","377,414","388,187"
MAUSER PACKAGING SOLUT,7.88,4/15/2027,"1,100,000","1,088,451","1,123,892"
MAYO CLINIC,3.20,11/15/2061,"347,000","232,146","231,466"
MAYO CLINIC,4.13,11/15/2052,"21,000","17,347","17,644"
MAYO CLINIC,4.00,11/15/2047,"52,000","42,243","43,643"
